Event,Timestamp,Width,Intensity,Stage x Position,Material Thickness
396,39.677,9.56,32200.0,0.0,0.0
397,39.777,10.1,32800.0,0.0,0.0
398,39.877,10.3,34500.0,0.0,0.0
399,39.977,9.72,34400.0,0.0,0.0
400,40.077,10.0,30800.0,0.0,0.0
401,40.177,9.75,34300.0,0.0,0.0
402,40.277,9.78,35900.0,0.0,0.0
403,40.377,9.89,35200.0,0.0,0.0
404,40.477,10.0,33000.0,0.0,0.0
405,40.577,9.22,35700.0,0.0,0.0
406,40.677,10.0,29500.0,0.0,0.0
407,40.777,10.3,31800.0,0.0,0.0
408,40.877,9.75,30100.0,0.0,0.0
409,40.977,10.0,33000.0,0.0,0.0
410,41.077,10.0,34200.0,0.0,0.0
411,41.177,10.2,34200.0,0.0,0.0
412,41.277,9.95,34400.0,0.0,0.0
413,41.377,9.9,33400.0,0.0,0.0
414,41.477,9.94,32100.0,0.0,0.0
415,41.577,9.93,33200.0,0.0,0.0
416,41.678,9.62,32100.0,0.0,0.0
417,41.697,10.1,33800.0,0.0,0.0
418,41.877,9.41,36800.0,0.0,0.0
419,41.977,8.13,36000.0,0.0,0.0
420,42.077,7.85,41500.0,0.0,0.0
421,42.177,8.02,41000.0,0.0,0.0
422,42.277,7.89,39200.0,0.0,0.0
423,42.377,7.94,38700.0,0.0,0.0
424,42.477,7.91,43700.0,0.0,0.0
425,42.577,7.76,39900.0,0.0,0.0
426,42.677,8.06,40800.0,0.0,0.0
427,42.777,8.0,40100.0,0.0,0.0
428,42.877,8.02,41500.0,0.0,0.0
429,42.977,8.03,41800.0,0.0,0.0
430,43.077,8.22,41500.0,0.0,0.0
431,43.177,7.94,40900.0,0.0,0.0
432,43.277,8.28,39900.0,0.0,0.0
433,43.377,8.0,36600.0,0.0,0.0
434,43.477,8.04,41800.0,0.0,0.0
435,43.577,8.27,39400.0,0.0,0.0
436,43.677,8.08,39000.0,0.0,0.0
437,43.777,8.13,35800.0,0.0,0.0
438,43.877,7.81,40700.0,0.0,0.0
439,43.977,8.05,39400.0,0.0,0.0
440,44.077,8.07,40500.0,0.0,0.0
441,44.177,7.76,40300.0,0.0,0.0
442,44.277,8.2,40600.0,0.0,0.0
443,44.377,8.18,38200.0,0.0,0.0
444,44.477,7.96,43200.0,0.0,0.0
445,44.577,8.02,38000.0,0.0,0.0
446,44.677,8.14,37900.0,0.0,0.0
447,44.777,8.15,39800.0,0.0,0.0
448,44.877,7.86,38900.0,0.0,0.0
449,44.977,7.65,37300.0,0.0,0.0
450,45.077,8.0,38700.0,0.0,0.0
451,45.177,7.9,40500.0,0.0,0.0
452,45.277,7.9,40800.0,0.0,0.0
453,45.377,7.84,38200.0,0.0,0.0
454,45.477,7.86,36500.0,0.0,0.0
455,45.577,8.0,41200.0,0.0,0.0
456,45.677,7.85,41800.0,0.0,0.0
457,45.777,8.06,39700.0,0.0,0.0
458,45.877,8.02,36300.0,0.0,0.0
459,45.977,7.71,38700.0,0.0,0.0
460,46.077,7.9,39800.0,0.0,0.0
461,46.177,8.2,41900.0,0.0,0.0
462,46.277,7.93,39100.0,0.0,0.0
463,46.377,7.96,39300.0,0.0,0.0
464,46.477,7.96,42900.0,0.0,0.0
465,46.577,8.03,38800.0,0.0,0.0
466,46.677,8.08,38300.0,0.0,0.0
467,46.777,7.82,41500.0,0.0,0.0
468,46.877,8.01,43500.0,0.0,0.0
469,46.977,7.86,38000.0,0.0,0.0
470,47.077,8.07,39000.0,0.0,0.0
471,47.177,7.69,42000.0,0.0,0.0
472,47.277,8.03,37400.0,0.0,0.0
473,47.377,8.15,41600.0,0.0,0.0
474,47.477,8.3,34700.0,0.0,0.0
475,47.577,8.06,38600.0,0.0,0.0
476,47.677,7.92,40600.0,0.0,0.0
477,47.777,8.07,39800.0,0.0,0.0
478,47.877,8.53,39000.0,0.0,0.0
479,47.977,8.57,37400.0,0.0,0.0
480,48.077,8.37,38500.0,0.0,0.0
481,48.177,8.32,37500.0,0.0,0.0
482,48.277,8.58,38700.0,0.0,0.0
483,48.377,8.42,37500.0,0.0,0.0
484,48.477,8.45,37300.0,0.0,0.0
485,48.577,8.26,39200.0,0.0,0.0
486,48.677,8.42,36800.0,0.0,0.0
487,48.777,8.09,41000.0,0.0,0.0
488,48.877,8.63,36700.0,0.0,0.0
489,48.977,8.46,40800.0,0.0,0.0
490,49.077,8.08,36300.0,0.0,0.0
491,49.177,8.06,39100.0,0.0,0.0
492,49.277,8.58,41100.0,0.0,0.0
493,49.377,7.91,39000.0,0.0,0.0
494,49.477,8.35,38900.0,0.0,0.0
495,49.577,8.58,36200.0,0.0,0.0
496,49.677,8.21,38600.0,0.0,0.0
497,49.777,8.46,36600.0,0.0,0.0
498,49.877,8.39,38600.0,0.0,0.0
499,49.977,8.49,36800.0,0.0,0.0
500,50.07,8.57,40700.0,0.0,0.0
501,50.177,7.89,35200.0,0.0,0.0
502,50.277,8.48,39400.0,0.0,0.0
503,50.377,8.44,37100.0,0.0,0.0
504,50.477,8.46,39700.0,0.0,0.0
505,50.577,8.45,41400.0,0.0,0.0
506,50.677,8.69,39100.0,0.0,0.0
507,50.777,8.4,34200.0,0.0,0.0
508,50.877,8.09,36100.0,0.0,0.0
509,50.977,8.03,38500.0,0.0,0.0
510,51.077,8.3,35100.0,0.0,0.0
511,51.177,8.53,39900.0,0.0,0.0
512,51.277,8.18,38700.0,0.0,0.0
513,51.377,8.23,39300.0,0.0,0.0
514,51.477,8.3,39300.0,0.0,0.0
515,51.577,8.64,44300.0,0.0,0.0
516,51.677,8.12,39400.0,0.0,0.0
517,51.777,8.33,39200.0,0.0,0.0
518,51.877,8.01,35300.0,0.0,0.0
519,51.977,8.17,38900.0,0.0,0.0
520,52.077,8.4,37700.0,0.0,0.0
521,52.177,8.33,38900.0,0.0,0.0
522,52.277,7.5,36600.0,0.0,0.0
523,52.377,7.19,43200.0,0.0,0.0
524,52.477,7.31,41000.0,0.0,0.0
525,52.577,7.23,40100.0,0.0,0.0
526,52.677,7.51,41800.0,0.0,0.0
527,52.777,7.21,43600.0,0.0,0.0
528,52.877,7.0,40100.0,0.0,0.0
529,52.977,7.23,41500.0,0.0,0.0
530,53.077,7.19,38900.0,0.0,0.0
531,53.177,7.12,38500.0,0.0,0.0
532,53.277,7.1,40400.0,0.0,0.0
533,53.377,7.43,40600.0,0.0,0.0
534,53.477,7.35,44100.0,0.0,0.0
535,53.577,7.38,46000.0,0.0,0.0
536,53.677,7.15,40600.0,0.0,0.0
537,53.777,7.2,37700.0,0.0,0.0
538,53.877,7.35,46400.0,0.0,0.0
539,53.977,7.21,44300.0,0.0,0.0
540,54.076,7.21,37600.0,0.0,0.0
541,54.176,7.35,41700.0,0.0,0.0
542,54.276,7.22,41300.0,0.0,0.0
543,54.376,7.22,37100.0,0.0,0.0
544,54.476,7.35,42200.0,0.0,0.0
545,54.576,7.34,41200.0,0.0,0.0
546,54.676,7.27,42100.0,0.0,0.0
547,54.776,7.32,40100.0,0.0,0.0
548,54.876,7.39,40700.0,0.0,0.0
549,54.976,7.24,41600.0,0.0,0.0
550,55.076,7.33,41000.0,0.0,0.0
551,55.176,7.5,44500.0,0.0,0.0
552,55.276,7.29,42700.0,0.0,0.0
553,55.376,7.1,41600.0,0.0,0.0
554,55.476,7.18,44800.0,0.0,0.0
555,55.576,7.35,43600.0,0.0,0.0
556,55.676,7.36,45300.0,0.0,0.0
557,55.776,7.48,36800.0,0.0,0.0
558,55.876,7.17,39600.0,0.0,0.0
559,55.976,7.41,41500.0,0.0,0.0
560,56.076,7.59,41600.0,0.0,0.0
561,56.176,7.2,37400.0,0.0,0.0
562,56.276,7.2,40200.0,0.0,0.0
563,56.377,7.35,40900.0,0.0,0.0
564,56.477,7.51,40100.0,0.0,0.0
565,56.577,7.33,39900.0,0.0,0.0
566,56.677,7.45,42700.0,0.0,0.0
567,56.777,7.67,43200.0,0.0,0.0
568,56.877,7.63,41500.0,0.0,0.0
569,56.977,7.61,38300.0,0.0,0.0
570,57.077,7.54,42200.0,0.0,0.0
571,57.177,7.3,39300.0,0.0,0.0
572,57.277,7.59,41800.0,0.0,0.0
573,57.377,7.43,39800.0,0.0,0.0
574,57.477,7.65,40800.0,0.0,0.0
575,57.577,7.49,40600.0,0.0,0.0
576,57.677,7.63,41300.0,0.0,0.0
577,57.777,7.31,39200.0,0.0,0.0
578,57.877,7.42,41500.0,0.0,0.0
579,57.977,7.17,37900.0,0.0,0.0
580,58.077,7.29,36900.0,0.0,0.0
581,58.177,7.61,39400.0,0.0,0.0
582,58.277,7.58,41400.0,0.0,0.0
583,58.377,7.15,43400.0,0.0,0.0
584,58.477,7.37,39000.0,0.0,0.0
585,58.577,7.42,43700.0,0.0,0.0
586,58.677,7.28,38700.0,0.0,0.0
587,58.777,7.5,37300.0,0.0,0.0
588,58.877,7.27,41400.0,0.0,0.0
589,58.977,7.3,39400.0,0.0,0.0
590,59.077,7.48,41200.0,0.0,0.0
591,59.142,7.39,44900.0,0.0,0.0
592,59.277,7.38,40600.0,0.0,0.0
593,59.377,7.22,40100.0,0.0,0.0
594,59.477,7.45,42700.0,0.0,0.0
595,59.577,7.53,44300.0,0.0,0.0
596,59.677,7.47,39200.0,0.0,0.0
597,59.777,7.57,44200.0,0.0,0.0
598,59.877,7.71,40400.0,0.0,0.0
599,59.977,7.64,41200.0,0.0,0.0
600,60.077,7.46,41200.0,0.0,0.0
601,60.177,7.54,40200.0,0.0,0.0
602,60.277,7.46,39700.0,0.0,0.0
603,60.377,7.39,41200.0,0.0,0.0
